CODIGO|NOME|DTINICIO|DTFIM|natRubr|tpRubr|codIncCP|codIncIRRF|codIncFGTS|codIncSIND|repDSR|rep13|repFerias|repResc|repAfast|fatorRubr|LOCALAPLIC|Domestica|SE|Geral|DESCRICAO|NOTA|ordRescDom|PerAdicRub|ordRemDom|repSFDom|PerFolRes|PerEditRub|PerExcRub|FilCatRub|grupRendDom|codIncCPRP|codIncPisPasep|RDConsignado
eSocial1720|Salário-família|01072021||1409|1|51|9|0|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente ao benefício previdenciário devido em virtude da faixa salarial e do número de filhos ou equiparados menores de 14 anos, ou inválidos de qualquer idade.||9|N|56|N|N|S|N||47|0|0|N
eSocial1721|Diferença de Salário-família retroativo|01022017|30062021|1409|1|51|0|0|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente à diferença de Salário-família relativa a mês(es) anterior(es), paga retroativamente.||67|S|59|N|N|S|S||47|0|0|N
eSocial1721|Diferença de Salário-família retroativo|01072021||1409|1|51|9|0|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente à diferença de Salário-família relativa a mês(es) anterior(es), paga retroativamente.||67|S|59|N|N|S|S||47|0|0|N
eSocial1730|Salário-família - Complemento|01012014||1009|1|11|11|11|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor excedente ao valor do salário-família fixado pela Previdência Social, pago pelo empregador.||41|S|46|S|N|S|S||31|0|0|S
eSocial1740|Salário base afastamento acidentário|01012014|30062021|9932|3|0|0|11|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente à remuneração mensal do empregado, afastado em virtude de auxílio-doença por acidente do trabalho ou doença ocupacional.||37|S|42|N|N|S|S|2||0|0|N
eSocial1740|Salário base afastamento acidentário|01072021||9932|3|0|9|11|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente à remuneração mensal do empregado, afastado em virtude de auxílio-doença por acidente do trabalho ou doença ocupacional.||37|S|42|N|N|S|S|2||0|0|N
eSocial1745|Salário base afastamento acidentário - 13º Salário|01012014|30062021|9932|3|0|0|12|0|N|N|N|N|N||S-1200-A;S-2299|S|S|S|Valor referente à remuneração mensal do empregado, afastado em virtude de auxílio-doença por acidente do trabalho ou doença ocupacional, proporcional aos meses de afastamento no ano.||38|S|43|N|N|S|S|2||0|0|N
eSocial1745|Salário base afastamento acidentário - 13º Salário|01072021||9932|3|0|9|12|0|N|N|N|N|N||S-1200-A;S-2299|S|S|S|Valor referente à remuneração mensal do empregado, afastado em virtude de auxílio-doença por acidente do trabalho ou doença ocupacional, proporcional aos meses de afastamento no ano.||38|S|43|N|N|S|S|2||0|0|N
eSocial1750|Salário base do serviço militar obrigatório|01012014|30062021|9905|3|0|0|11|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente à remuneração mensal do empregado, afastado para prestação de serviço militar obrigatório.||39|S|44|N|N|S|S|2||0|0|N
eSocial1750|Salário base do serviço militar obrigatório|01072021||9905|3|0|9|11|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente à remuneração mensal do empregado, afastado para prestação de serviço militar obrigatório.||39|S|44|N|N|S|S|2||0|0|N
eSocial1755|Salário base do serviço militar obrigatório - 13º Salário|01012014|30062021|9905|3|0|0|12|0|N|N|N|N|N||S-1200-A;S-2299|S|S|S|Valor referente à remuneração mensal do empregado, afastado para prestação de serviço militar obrigatório, proporcional aos meses de afastamento no ano.||40|S|45|N|N|S|S|2||0|0|N
eSocial1755|Salário base do serviço militar obrigatório - 13º Salário|01072021||9905|3|0|9|12|0|N|N|N|N|N||S-1200-A;S-2299|S|S|S|Valor referente à remuneração mensal do empregado, afastado para prestação de serviço militar obrigatório, proporcional aos meses de afastamento no ano.||40|S|45|N|N|S|S|2||0|0|N
eSocial1800|13º salário - Adiantamento|01012014|30062021|5504|1|0|0|12|0|N|N|N|N|N||S-1200-M|S|S|S|Valor referente ao adiantamento do 13º salário, cujo pagamento deve ocorrer entre fevereiro e novembro.|||S|4|N|S|S|S|||0|0|N
eSocial1800|13º salário - Adiantamento|01072021||5504|1|0|9|12|0|N|N|N|N|N||S-1200-M|S|S|S|Valor referente ao adiantamento do 13º salário, cujo pagamento deve ocorrer entre fevereiro e novembro.|||S|4|N|S|S|S|||0|0|N
eSocial1810|13º salário|01012014||5001|1|12|12|12|0|N|N|N|N|N||S-1200-A;S-2299|S|S|S|Valor referente à gratificação salarial, equivalente à remuneração do mês de dezembro, cujo pagamento deve ocorrer até 20 de dezembro.||42|S|5|N|N|S|N||51|0|0|N
eSocial1820|13º salário complementar|01012014|31122016|5005|1|12|12|12|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente ao 13° salário complementar, devido a diferenças apuradas no mês de dezembro e não consideradas na folha de 13º salário, cujo pagamento deve ocorrer até 10 de janeiro do ano seguinte.||43|S|6|N|N|S|S||51|0|0|N
eSocial1820|Diferença de reflexo da remuneração variável no 13º salário|01012017||5005|1|12|12|12|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente ao 13° salário complementar, devido a diferenças apuradas no mês de dezembro e não consideradas na folha de 13º salário, cujo pagamento deve ocorrer até 10 de janeiro do ano seguinte.||43|S|58|N|N|S|S||51|0|0|N
eSocial1830|13º salário - Parcela final paga em dezembro|01012014|30062021|5504|3|0|0|12|0|N|N|N|N|N||S-2299|S|S|S|Valor restante de 13º salário, subtraído os adiantamentos, pago em dezembro ao empregado para fins de recolhimento do FGTS.|||N||N|N|N|N|||0|0|N
eSocial1830|13º salário - Parcela final paga em dezembro|01072021||5504|3|0|9|12|0|N|N|N|N|N||S-2299|S|S|S|Valor restante de 13º salário, subtraído os adiantamentos, pago em dezembro ao empregado para fins de recolhimento do FGTS.|||N||N|N|N|N|||0|0|N
eSocial1840|Insuficiência de saldo|01012014|30062021|2930|1|0|0|0|0|N|N|N|N|N||S-1200-M;S-1200-A;S-2299|S|S|S|Valor referente ao saldo devedor do recibo de pagamento ou do termo de rescisão, a fim de que o valor líquido não fique negativo.||66|N|57|N|N|N|N|||0|0|N
eSocial1840|Insuficiência de saldo|01072021||2930|1|0|9|0|0|N|N|N|N|N||S-1200-M;S-1200-A;S-2299|S|S|S|Valor referente ao saldo devedor do recibo de pagamento ou do termo de rescisão, a fim de que o valor líquido não fique negativo.||66|N|57|N|N|N|N|||0|0|N
eSocial1900|Adiantamento de férias|01012014|31122024|1020|1|0|13|0|0|N|N|N|N|N||S-1200-M|S|S|S|Valor referente ao adiantamento da remuneração de férias, desconsiderado o terço constitucional.|Observar que o calculo do IRRF sobre as férias é feito em calculo em separado. Artigo 29 da IN RFB 1500/2014.||N||N|N|N|N|1;3|31|0|0|N
eSocial1900|Adiantamento de férias|01012025||1016|1|0|13|0|0|N|N|N|N|N||S-1200-M|S|S|S|Valor referente ao adiantamento da remuneração de férias, desconsiderado o terço constitucional.|Observar que o calculo do IRRF sobre as férias é feito em calculo em separado. Artigo 29 da IN RFB 1500/2014.||N||N|N|N|N|1;3|31|0|0|N
eSocial1901|Adiantamento do adicional de 1/3 sobre férias|01012014|31122024|1020|1|0|13|0|0|N|N|N|N|N||S-1200-M|S|S|S|Valor referente ao adiantamento da remuneração do terço constitucional de férias.|Observar que o calculo do IRRF sobre as férias é feito em calculo em separado. Artigo 29 da IN RFB 1500/2014.||N||N|N|N|N|1;3|31|0|0|N
eSocial1901|Adiantamento do adicional de 1/3 sobre férias|01012025||1017|1|0|13|0|0|N|N|N|N|N||S-1200-M|S|S|S|Valor referente ao adiantamento da remuneração do terço constitucional de férias.|Observar que o calculo do IRRF sobre as férias é feito em calculo em separado. Artigo 29 da IN RFB 1500/2014.||N||N|N|N|N|1;3|31|0|0|N
